Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
279,NONE,ST,CHILDRENS ATHLETIC,90,103351,103351,103351,0,500,0,0,0,0,0,0,0
280,NONE,ST,CHILDRENS ATHLETIC,79.90857143,183512.5,183512.5,183512.5,0,500,0,0,0,0,0,0,0
281,NONE,ST,CHILDRENS ATHLETIC,75.1863354,83220.5,83220.5,83220.5,0,500,0,0,0,0,0,0,0
282,NONE,ST,CHILDRENS ATHLETIC,69.75862069,105838.5,105838.5,105838.5,0,500,0,0,0,0,0,0,0
283,NONE,ST,CHILDRENS ATHLETIC,80,100421.5,100421.5,100421.5,0,500,0,0,0,0,0,0,0
284,NONE,ST,CHILDRENS ATHLETIC,89.26630435,100544,100544,100544,0,500,0,0,0,0,0,0,0
285,NONE,ST,CHILDRENS ATHLETIC,84.76388889,126382.5,126382.5,126382.5,0,500,0,0,0,0,0,0,0
286,NONE,ST,CHILDRENS ATHLETIC,70.36842105,82354,82354,82354,0,500,0,0,0,0,0,0,0
287,NONE,ST,CHILDRENS ATHLETIC,75.17751479,74415,74415,74415,0,500,0,0,0,0,0,0,0
288,NONE,ST,CHILDRENS ATHLETIC,79.66863905,82037.5,82037.5,82037.5,0,500,0,0,0,0,0,0,0
289,NONE,ST,CHILDRENS ATHLETIC,85.44219653,92857,92857,92857,0,500,0,0,0,0,0,0,0
290,NONE,ST,CHILDRENS ATHLETIC,80.04790419,62064.5,62064.5,62064.5,0,500,0,0,0,0,0,0,0
291,NONE,ST,CHILDRENS ATHLETIC,90.56842105,117310.5,117310.5,117310.5,0,500,0,0,0,0,0,0,0
292,NONE,ST,CHILDRENS ATHLETIC,74.59580838,92298.5,92298.5,92298.5,0,500,0,0,0,0,0,0,0
293,NONE,ST,CHILDRENS ATHLETIC,79.18181818,91602.5,91602.5,91602.5,0,500,0,0,0,0,0,0,0
295,NONE,ST,CHILDRENS ATHLETIC,84.4,71175,71175,71175,0,500,0,0,0,0,0,0,0
296,NONE,ST,CHILDRENS ATHLETIC,69.86184211,114815.5,114815.5,114815.5,0,500,0,0,0,0,0,0,0
297,NONE,ST,CHILDRENS ATHLETIC,74.8125,97410,97410,97410,0,500,0,0,0,0,0,0,0
298,NONE,ST,CHILDRENS ATHLETIC,89.75675676,106009,106009,106009,0,500,0,0,0,0,0,0,0
299,NONE,ST,CHILDRENS ATHLETIC,74.64497041,112368,112368,112368,0,500,0,0,0,0,0,0,0
